Date,ASTRAL.BO,AXISBANK.BO,BAJFINANCE.BO,BEL.BO,BLUEDART.BO,CROMPTON.BO,DIVISLAB.BO,ESCORTS.BO,GAIL.BO,GLENMARK.NS,HDFC.BO,HDFCBANK.BO,ICICIBANK.BO,INFY.BO,KOTAKBANK.BO,LTTS.BO,PAGEIND.BO,RELIANCE.BO,SBIN.BO,TCS.BO,^BSESN
21-03-2018,669,525.3499756,1702.349976,148.25,3983.350098,231.9499969,1086.800049,825.7999878,162.9375458,545.0999756,1818.849976,928.8250122,289.6000061,584.2999878,1051.699951,1201.449951,20799.59961,896.3499756,247.6999969,1427.300049,33136.17969
22-03-2018,672.4799805,518.2999878,1694.699951,143.4499969,3943.25,238,1069.050049,810.4000244,164.4937897,544.8499756,1808.550049,934.1500244,283.5499878,579.4000244,1051.599976,1182.400024,20599.69922,907.2999878,241.6000061,1414.974976,33006.26953
23-03-2018,693.1199951,501,1679.849976,139.8000031,3866.850098,240.9499969,1035.449951,794.75,164.3437958,535.4000244,1785.150024,919.7999878,275.7999878,583.7249756,1039,1215.75,20446.69922,892.8499756,234.6000061,1408.224976,32596.53906
26-03-2018,691.1199951,507.5,1740.800049,142.75,3776.899902,234,1057.25,807.5499878,159.2812958,539.0499878,1832.599976,946.5750122,281.4500122,577.1500244,1039.599976,1239.050049,21466.75,901.0499878,246.3500061,1406.525024,33066.41016
27-03-2018,699,511.25,1771.099976,143.1000061,3845.050049,230.6000061,1087.449951,826,160.5,537.4500122,1821.949951,946.5999756,283.8999939,576.4000244,1049,1239.150024,22147.59961,899.9500122,253.8500061,1420.925049,33174.39063
28-03-2018,716.5599976,509.3999939,1769.75,142.0500031,3777,236.5500031,1089.5,818.3499756,164.3000031,526.2999878,1824.400024,945.7249756,278.3999939,567.2000122,1048.599976,1239.599976,22684.65039,882.7999878,250.1000061,1424.650024,32968.67969
02-04-2018,737.039978,498.2000122,1818.400024,144.6499939,3778.899902,232.6499939,1091,883.2000122,162.625,547.4500122,1838.099976,965.2249756,261.8999939,568.75,1097.400024,1248.050049,22202.90039,892.7000122,246.3000031,1451.449951,33255.35938
03-04-2018,723,503.2999878,1832,146.6499939,3744.800049,231.1999969,1107.25,884.4000244,164.6999969,549.5999756,1830.099976,958.0499878,269.6000061,570.0250244,1103,1230.949951,22288.30078,898.7999878,250.3500061,1454.050049,33370.62891
04-04-2018,724,490.1499939,1845.699951,143.8500061,3759.800049,229.1499939,1096.099976,871.3499756,164.0500031,548.4000244,1803.25,942.4000244,268.4500122,562.2750244,1078.199951,1216.650024,22718.15039,895.0999756,246.8999939,1453.525024,33019.07031
05-04-2018,728.2800293,503.1499939,1914.199951,145.3500061,3766.5,234,1117.25,891.2999878,166.2250061,556.5499878,1822.699951,953.8499756,277.8999939,572.5,1114.599976,1225.400024,23993.94922,906.75,258.3999939,1478.574951,33596.80078
06-04-2018,736.7199707,500.7000122,1933,144.5500031,3738.399902,230.6999969,1115.550049,908.7999878,166.8500061,563.5999756,1829.599976,961.3499756,280.6000061,564.6500244,1119.099976,1221.900024,23926.65039,909.75,259.7999878,1474.849976,33626.96875
09-04-2018,741.4400024,517.9000244,1941.800049,144.5,3726.149902,237.1999969,1125.849976,904.9500122,165.3500061,565.0999756,1836.599976,969.25,280.4500122,555.4749756,1118.099976,1209.400024,24959.19922,916.0499878,260.5499878,1460.574951,33788.53906
10-04-2018,751.1599731,546,1922.300049,145.4499969,3847.600098,237.0500031,1144.349976,886.9500122,165.9750061,568.2000122,1821.75,959.5499878,288.8999939,557.0750122,1113.599976,1212.800049,24886.15039,916.4500122,263.25,1465.925049,33880.25
11-04-2018,757.6799927,539.5,1924.900024,144.9499969,3749.600098,235.1999969,1123.75,905.7999878,163.375,559.5499878,1813.699951,958.125,284.1000061,561.9500122,1125.699951,1198.800049,24924,929.0499878,257.2999878,1507.75,33940.44141
12-04-2018,753.7199707,548.2999878,1927.199951,147.1499939,3755.399902,235.9499969,1121.699951,905.75,163.0500031,558.2999878,1828.400024,963.1500244,286.4500122,581.125,1131.349976,1211.75,24722.30078,927.5499878,254.3000031,1568.650024,34101.12891
13-04-2018,760,541.9000244,1918.349976,142.5,3833.399902,232.1499939,1143.699951,946.3499756,163.3249969,582.0499878,1840.599976,964.0250244,288.2000122,584.5,1148.5,1191.949951,25100.59961,938.8499756,251.1999969,1575.5,34192.64844
16-04-2018,762.4799805,542.2000122,1941.349976,139.0500031,3795.899902,225.25,1170.099976,973.7000122,162.3999939,576.2000122,1870.699951,969.3250122,287.3999939,566.4000244,1170.050049,1178.599976,25300.09961,937.25,249.3000031,1592.400024,34305.42969
17-04-2018,751.7600098,532.5499878,1934.300049,139,3796.699951,224.1999969,1179.5,978,162.625,573.4500122,1889.949951,973.7000122,291.7000122,562.5,1165.099976,1160.449951,24798.40039,943.7000122,248.1999969,1582.949951,34395.05859
18-04-2018,737.2399902,518.7000122,1926.550049,138.8500061,3807.5,226.6499939,1172.900024,964.6500244,165.0749969,566.8499756,1876.599976,968.5250244,290.2000122,562.7249756,1157.949951,1156.650024,24775.59961,937,246.25,1579.75,34331.67969
19-04-2018,741.6400146,513.5,1916.800049,135.9499969,3838.850098,228.6499939,1184.349976,968.5999756,167.6000061,565.25,1864.449951,970.9749756,289.1499939,566.3499756,1155.199951,1158.5,24757.75,941.25,246.25,1595.324951,34427.28906
20-04-2018,739.7600098,505.8500061,1880.050049,132.25,3838.600098,230.3500061,1193.849976,960.9000244,164.9499969,571.2000122,1831.650024,980.4749756,281.9500122,589.125,1154.449951,1198.650024,24319.5,928.0499878,241.3999939,1703.199951,34415.57813
23-04-2018,746.039978,506.4500122,1893.599976,137.3500061,3849.75,231.1999969,1179.550049,958.6500244,166.0500031,579.6500244,1831,966.5250244,279.5499878,591.6749878,1170.599976,1248.800049,23937.40039,935.1500244,242.6999969,1707.599976,34450.76953
24-04-2018,733.6799927,505.25,1917.449951,135.8999939,3902.600098,231.6499939,1178.800049,940.9500122,168.5500031,580.0999756,1853.349976,968,284.2000122,576.9500122,1166.800049,1221.349976,24472.19922,969.75,240.6000061,1692.824951,34616.64063
25-04-2018,713.3599854,498.3999939,1898.650024,132.8000031,3890.050049,228.25,1160.75,943,163.6499939,566.75,1849.349976,958.5999756,278.8999939,580.4500122,1167.300049,1289.800049,24030,970.7000122,237.3999939,1733.949951,34501.26953
26-04-2018,725.4000244,494.5499878,1897.25,131.1000061,3813.5,229.4499969,1172.400024,958.7999878,162.5249939,566.5499878,1855.949951,965.1500244,278.75,587.8250122,1183.75,1343.5,23931.80078,975.3499756,233.3500061,1770.175049,34713.60156
27-04-2018,722.4799805,538.9000244,1904.650024,133.1999969,3808.300049,232.3500061,1188.400024,974.5,164.8249969,572.6500244,1857.849976,961.4249878,288.0499878,592.5750122,1188.550049,1338.199951,24059.59961,994.75,242.6499939,1727.400024,34969.69922
30-04-2018,761.3599854,518.0499878,1906.050049,131.3999939,3710.300049,235.75,1196.75,1003.549988,162.5,571.7000122,1884.650024,972.2999878,284.4500122,599.7000122,1210.349976,1329.349976,24204.55078,963.0999756,246.3000031,1765.699951,35160.35938
02-05-2018,747.7999878,523.4500122,1906.400024,130.1999969,3667.600098,234.8000031,1187.25,985.4500122,161.5500031,549.7000122,1910.5,985.1749878,277.1000061,598.9000244,1257.25,1303.550049,23663.09961,973,240.6499939,1748.900024,35176.42188
03-05-2018,754.4799805,532.4000244,1876.199951,128.6999969,3682.699951,236.1000061,1197.400024,970.0999756,161.0749969,542.5,1922.900024,983.7750244,281.7999878,590.9249878,1233.400024,1267.199951,23307.30078,962.5999756,241.8000031,1741.324951,35103.14063
04-05-2018,759.3599854,520.2999878,1858.949951,129.6000061,3568.699951,244.6999969,1190.75,972.0999756,164.9250031,535.2999878,1912.050049,993.9249878,282.8999939,586.4500122,1231.550049,1272.849976,23640.34961,953.9000244,241.9499969,1740.425049,34915.37891
07-05-2018,765.5999756,534.9500122,1893.800049,131.25,3586.800049,248.3999939,1205.199951,989.75,171.3999939,525.0999756,1914,989.875,289.3999939,591.6749878,1244.550049,1292.650024,24101.40039,971.8499756,246.5,1713.849976,35208.14063
08-05-2018,775.4799805,541.25,1870,131.8500061,3587.600098,249.0500031,1207.400024,975.9500122,170.8249969,524.2999878,1904.800049,983.2999878,309.25,582.6749878,1241.400024,1325,24322.75,967.6500244,250,1720.525024,35216.32031
09-05-2018,772.960022,548.5999756,1850.550049,132.3999939,3522.800049,245.5,1195.150024,966.0999756,171.0500031,526.25,1896.300049,989.5,307.1000061,585.625,1248.349976,1320.650024,23914.44922,975.2999878,248.8000031,1744.525024,35319.35156
10-05-2018,767.7199707,547.6500244,1833.150024,129.8500061,3503.899902,237.25,1190.400024,948.5,169.8999939,515.5,1895.949951,994.8499756,307,583.7750244,1247.25,1300.25,23752.65039,980.7000122,247.9499969,1726.375,35246.26953
11-05-2018,765.4799805,553.2000122,1858.5,127.9499969,3342.949951,233.6999969,1198.25,945.5499878,171.3249969,515.7000122,1921.199951,1005.325012,311.1000061,590.5,1265.449951,1295.400024,24020.19922,988.5,250.8999939,1730.300049,35535.78906
14-05-2018,765.6799927,552.25,1860.800049,125.5500031,3354.5,234.75,1170.900024,941.5999756,172.1499939,503.3999939,1929.900024,1010.599976,309.9500122,594.7999878,1268.949951,1278.949951,23993.34961,984.8499756,253.3500061,1718.375,35556.71094
15-05-2018,774.7999878,549.4500122,1901.050049,120.6999969,3279.850098,231.1499939,1148.900024,941.4000244,169.6999969,506.3999939,1929.900024,1019.599976,308,596.2750244,1282.150024,1264.550049,23259.69922,979.3499756,248.6000061,1741.224976,35543.94141
16-05-2018,770.4000244,549.3499756,1918.650024,121.6999969,3358.5,228.3999939,1166.150024,958.0499878,165.4250031,518.2000122,1914.849976,1012.224976,297.8999939,595.0250244,1281.75,1243.800049,23578.25,956.4500122,243.1499939,1747.775024,35387.87891
17-05-2018,763.9199829,539.5,2067.25,125.3499985,3329.449951,246.5,1167.150024,951.0999756,165.3000031,525.5499878,1875.050049,1013.700012,295.8999939,592.4749756,1269,1241.550049,23509.84961,945.1500244,243.3000031,1746.349976,35149.12109
18-05-2018,744.4400024,532.7000122,2143.699951,121.6500015,3339.149902,245.1999969,1154.400024,872.25,160.5249939,500.6000061,1857.25,1006.450012,286.3999939,591.875,1294.25,1258.75,23097.05078,933.4000244,239.1999969,1751.175049,34848.30078
21-05-2018,737.5599976,528.7000122,2105.050049,117.6500015,3271.5,240.0500031,1135.900024,882.2999878,162.6499939,500.8500061,1820.150024,995.9500122,289.6499939,591.2999878,1273.900024,1295.650024,22946.30078,931.9500122,245.1000061,1778.974976,34616.12891
22-05-2018,746.8400269,523.2999878,2145.899902,117.1500015,3302.300049,243.8000031,1117.900024,890.7000122,163.8999939,511.8500061,1809.849976,995.5750122,290.75,596.7750244,1264.400024,1272.900024,23392.69922,926.9000244,254.1499939,1754.025024,34651.23828
23-05-2018,725.2000122,520.3499756,2078.149902,116.75,3321.850098,239.1999969,1092.75,875.25,161.5749969,517.9000244,1783.900024,983.4749756,291.7000122,592.625,1255.800049,1318.699951,23320.44922,912.25,263.2000122,1748.525024,34344.91016
24-05-2018,769.0800171,534.4500122,2092.649902,116.0500031,3369.699951,236.3500061,1127.050049,889.9500122,153.3999939,531.2999878,1806.050049,992.9500122,297.25,610.9249878,1275.550049,1316.050049,23357.30078,916.0499878,268.5,1802.400024,34663.10938
25-05-2018,760.9199829,538.4500122,2114.350098,118.5500031,3501.350098,231.8999939,1145.699951,916.4500122,159.8000031,535.4000244,1820,1005.825012,296.5,614.4000244,1298.25,1314.599976,24465.25,921.75,267,1794.724976,34924.87109
28-05-2018,772.2000122,546.4500122,2094.149902,123.5,3524,228.6999969,1092,924.1500244,168.1750031,538.7999878,1830.349976,1021.150024,299.25,607.25,1301.150024,1316.849976,24221.40039,921,272.25,1751.900024,35165.48047
29-05-2018,767.3599854,545.9000244,2077.199951,122.9000015,3445.149902,226.75,1069.199951,930.3499756,171.5749969,531.9500122,1810.150024,1016.375,290.6499939,608.3250122,1283.150024,1322.050049,24400.19922,917,264.8999939,1761.349976,34949.23828
30-05-2018,808.039978,539.9000244,2115.350098,119.0500031,3437.100098,222.4499969,1051.650024,933.7999878,171.3249969,524.7999878,1792.900024,1023.424988,285.25,607.0499878,1302.150024,1309.650024,24347.44922,917.3499756,266.8999939,1758.875,34906.10938
31-05-2018,822.7999878,543.2999878,2108.100098,114.1500015,3438.100098,226.3500061,1051.449951,931.5,175.125,535.9500122,1828.5,1068.074951,285.6000061,615.9500122,1337,1327.800049,25200.40039,921.2999878,269.2000122,1744.800049,35322.37891
01-06-2018,799.4400024,537.1500244,2075.699951,111.4000015,3604.199951,223.0500031,1049.75,935,170.5749969,535.8499756,1843.349976,1054.775024,289.5,610.125,1318.800049,1323.599976,24845,929.2000122,266.75,1732.25,35227.26172
04-06-2018,792.5599976,536.0499878,2058.850098,111.9499969,3610.149902,222.8500061,1045.5,893.7000122,167.25,539.9500122,1832.699951,1023.275024,286.2000122,619.7999878,1303.949951,1339.050049,24864.44922,939.3499756,263.1000061,1744.550049,35011.89063
