Date,AXISBANK.BO,BEL.BO,FINCABLES.BO,HDFC.BO,HDFCBANK.BO,RELIANCE.BO,SBILIFE.BO,SKFINDIA.BO,SPICEJET.BO,TCS.BO,BSE Index
04-07-2018,514.2999878,104.4499969,575.9500122,1922.849976,1051.5,990.0499878,664.5999756,1705.300049,110.1999969,1869.650024,35385.52
05-07-2018,510.8999939,102.25,582.0499878,1931.599976,1061.675049,965,663.1500244,1715.849976,109.6500015,1881.699951,35703.17
06-07-2018,514.25,110.8499985,580.0999756,1915.75,1057.025024,976.5,667.4000244,1722,110,1913.300049,35543.66
09-07-2018,523.6500244,107.8499985,591.5,1909.699951,1060.650024,995.6500244,664.9000244,1746.150024,111.6500015,1887.650024,35835.1
10-07-2018,532.5499878,112.9000015,581.1500244,1939.199951,1073.550049,1025.75,660,1764.599976,110.9000015,1877,36068.27
11-07-2018,536.5999756,108.3499985,586.9500122,1928.199951,1073.275024,1036.349976,660.9500122,1761.699951,110.4499969,1979.599976,36299.26
12-07-2018,537.25,105.8499985,596.4000244,1961.75,1082.599976,1082.199951,664.3499756,1762.199951,113.4499969,1971,36424.23
13-07-2018,523.9000244,103.9499969,597.9500122,1972.900024,1090.349976,1096.75,660.4500122,1754.449951,114.1999969,1981.25,36635.14
16-07-2018,523.0999756,101.0500031,592.0499878,1991.550049,1084.675049,1076.150024,654.9500122,1728.800049,110.8499985,1988.800049,36658.71
17-07-2018,538.0499878,104.0500031,595.1500244,1990.050049,1088.349976,1091.699951,663.1500244,1750.5,111.3499985,1997.849976,36390.99
18-07-2018,524.2000122,99.69999695,587.5,2008.25,1088.025024,1090.550049,650.2999878,1712.300049,109.1500015,1997.300049,36722.41
19-07-2018,527.2999878,97.90000153,577.2999878,1989.300049,1092.849976,1103.900024,635,1673.650024,108.8000031,1981.449951,36509.08
20-07-2018,534.4500122,103.3499985,580.7000122,1975.199951,1095.050049,1128.550049,632.9500122,1659.199951,104.8499985,1995.949951,36377.03
23-07-2018,540.7999878,102.8000031,586.9000244,1966.599976,1078.875,1120.150024,651.4500122,1655.300049,109.6999969,2005.050049,36501.05
24-07-2018,546,107.0500031,616.75,1979.199951,1080.300049,1110.550049,653.3499756,1661.800049,110.4000015,1996.849976,36859.39
25-07-2018,531.8499756,101.0999985,616.5,2000.400024,1086.849976,1114.050049,658.5499878,1625,108.9499969,1979.400024,36928.06
26-07-2018,541.6500244,100.25,614.0499878,2023.800049,1094.675049,1110.349976,672.7000122,1630.900024,108.0999985,1963.300049,36928.38
27-07-2018,553.6500244,102.3000031,623.2999878,2044.449951,1101.699951,1129.599976,692.2999878,1645.650024,106.5,1943.099976,37253.86
30-07-2018,568.4500122,107.5999985,620.4500122,2028.050049,1086.125,1149.699951,689.75,1669.349976,104.9499969,1944.949951,37491.39
31-07-2018,550.0999756,115.9499969,616.25,1994.75,1090.525024,1185.849976,688.2000122,1667.75,98.84999847,1941.25,37534.95
01-08-2018,544.9000244,116.9499969,618.5499878,1970.050049,1078.675049,1191.150024,695.8499756,1688.849976,97.34999847,1975.099976,37643.87
02-08-2018,546.0999756,116.75,616.5499878,1932.650024,1064.625,1168.349976,693.5499878,1703.5,97,1950.650024,37529.69
03-08-2018,574.3499756,119.3000031,619.25,1974.349976,1060.5,1176.75,691.2999878,1700.25,95.30000305,1977.349976,37327.16
06-08-2018,596.5,119.4499969,606.5999756,1975.599976,1057.599976,1191.5,687.6500244,1718.300049,95.19999695,1976.349976,37714.7
07-08-2018,592.0499878,116.4499969,607.6500244,1972,1066.074951,1183.550049,686.75,1723.599976,92,1968.099976,37849.21
08-08-2018,596.4000244,121,606.2000122,1980.800049,1068.425049,1217.25,676.9500122,1721.550049,86.40000153,1974.599976,37756.24
09-08-2018,619.4500122,121.1999969,592.0499878,1977.550049,1059.324951,1217.949951,674.5499878,1718.300049,89.65000153,1974.550049,37994.51
10-08-2018,615.6500244,121.0999985,591.75,1975.400024,1057.5,1204,651.75,1741.599976,90.75,1993.849976,38050.07
13-08-2018,605.2999878,117.3000031,587.4000244,1946.199951,1045.324951,1187.150024,653,1723.199951,89.40000153,2000.5,37693.19
14-08-2018,618.2999878,117.5500031,593.4000244,1941.650024,1044.574951,1210.949951,658.25,1712.699951,88.69999695,2001.25,37749.59
16-08-2018,623.8499756,114.8499985,592.8499756,1890.900024,1037.800049,1200.199951,649.2000122,1719.949951,86.75,2008.75,37796.01
17-08-2018,627.0999756,117.25,595.5,1883.599976,1038.625,1203.449951,654.25,1742.150024,85,2011.849976,37898.6
20-08-2018,624.2000122,117.4000015,595.1500244,1920.050049,1048.550049,1234.900024,672.7999878,1748.550049,84.65000153,2010.400024,38075.07
21-08-2018,636.2000122,118.5,581.8499756,1912.699951,1047.425049,1246.5,669.5,1739.849976,82.19999695,2013.650024,38360.32
23-08-2018,631.7999878,116.1500015,570.5999756,1906.099976,1040.699951,1269.699951,669.7000122,1752.5,79.65000153,2035.449951,38416.65
24-08-2018,639.5999756,117.5500031,559.8499756,1918.699951,1035.275024,1278.050049,661.2999878,1781.349976,80.19999695,2042.199951,38366.79
27-08-2018,650.0499878,116.75,564.3499756,1923.949951,1039.875,1291.599976,659.6500244,1793.599976,82.94999695,2051.649902,38472.03
28-08-2018,660.5999756,115.0999985,565.7999878,1952.449951,1048.449951,1318.199951,656.7999878,1769.449951,83.84999847,2065.550049,38814.76
29-08-2018,656.5499878,114.9000015,561.4500122,1950.150024,1039.224976,1294.449951,667.6500244,1747.800049,81.30000305,2065.800049,38989.65
30-08-2018,649.5499878,114.3499985,551.3499756,1933.650024,1033.574951,1274.099976,658.75,1760.900024,78.25,2079.449951,38796.98
31-08-2018,649.2000122,113.6999969,547,1931.5,1031.125,1240.949951,670.7999878,1789.199951,79.05000305,2078.199951,38704.84
03-09-2018,631.75,112.6500015,552.0999756,1939.650024,1037.150024,1230.400024,665.9500122,1775.5,79.94999695,2054.949951,38915.91
04-09-2018,640.5,109.0500031,557.5499878,1955.050049,1026,1242.349976,664.2999878,1761.5,78.44999695,2093.199951,38460.96
05-09-2018,637.4000244,94.5,549.8499756,1939.849976,1022.075012,1225.800049,670,1761.449951,75.44999695,2078.149902,38192.95
06-09-2018,639.0499878,91.30000305,559.9000244,1954.5,1028.275024,1260.150024,677.0999756,1774,78,2075.699951,38161.85
07-09-2018,645.1500244,92,559.0999756,1924.900024,1028.925049,1276.75,675.9500122,1773.949951,80.09999847,2079.699951,38314.55
10-09-2018,651.5499878,90.94999695,552.0499878,1883.800049,1021.200012,1257.150024,674.8499756,1739.25,79.40000153,2081.199951,38348.39
11-09-2018,650.5,88.25,544.25,1865.5,1000.099976,1238.449951,674.2999878,1769.199951,79.34999847,2045.949951,38017.49
12-09-2018,635.5499878,87.5,536.1500244,1877.300049,1009.224976,1252.699951,668.9000244,1754.650024,79.59999847,2043.75,37546.42
14-09-2018,636.25,88.80000305,559.75,1926.25,1014.599976,1252.800049,669.1500244,1773.800049,78.55000305,2063.300049,37939.29
17-09-2018,626.0499878,87.09999847,547.7000122,1878.599976,996.2249756,1226.25,645.0499878,1770,79.65000153,2071.600098,38027.81
18-09-2018,608.4500122,83.84999847,543.0499878,1856.150024,996.6749878,1217.199951,623.0499878,1755.449951,77.90000153,2070,37660.19
19-09-2018,609.2000122,82.59999847,540.25,1831.150024,980.9749756,1210.300049,616.6500244,1742.150024,76.15000153,2076.899902,37432.93
21-09-2018,599.4000244,80.15000153,551.75,1835.25,984.4249878,1216.849976,610,1733.699951,77.05000305,2103.800049,37278.89
24-09-2018,597.5499878,77.55000305,535.3499756,1721.050049,963.125,1232.300049,587.5,1704.800049,71.5,2198.699951,36924.72
25-09-2018,615.25,76.05000305,531,1771.75,975.8499756,1230.599976,570.2000122,1711.650024,68.80000305,2183.100098,36350.25
26-09-2018,615.9000244,84.19999695,530.2999878,1766.199951,983.6749878,1251.75,578.5499878,1713.5,69.40000153,2141.449951,36936.64
27-09-2018,598.7000122,82.15000153,542.5999756,1729.699951,988.9749756,1252.900024,555,1688.300049,68.05000305,2187.800049,36691.93
28-09-2018,612.3499756,80.19999695,530.5499878,1755.5,1002.825012,1258.199951,509.2999878,1681.900024,68.15000153,2184.5,36452.74
01-10-2018,593.9500122,82.75,517.9000244,1803.400024,1018.174988,1231.550049,519.7000122,1691.599976,65.44999695,2255.800049,36274.25
03-10-2018,570.7000122,83.5,505.75,1798.949951,1015.599976,1205.300049,544.2999878,1699.449951,62.70000076,2162.449951,36602.85
04-10-2018,586.0999756,82.30000305,505.9500122,1772.599976,980.4500122,1120.550049,564.4500122,1704.050049,68.25,2064.25,35820.53
05-10-2018,568.4500122,80.5,494.1499939,1715.150024,981.4249878,1049.849976,562.2000122,1671.800049,62.45000076,2103.100098,35097.99
08-10-2018,556.5,77.19999695,464.8999939,1670.150024,972.9749756,1107.949951,550.5,1642.199951,63.40000153,2080.100098,34412.36
09-10-2018,552.75,75.90000153,463.25,1713.449951,971.2750244,1090.400024,540.2999878,1645,65.25,2090.5,34651.82
10-10-2018,589.3499756,81.40000153,480.2000122,1738.699951,983.1500244,1102.349976,562.4000244,1646.099976,68.09999847,2043.050049,34493.21
11-10-2018,580.7999878,84.65000153,467,1685.800049,967.9249878,1089.199951,541.2000122,1628.199951,70.25,1979.75,34063.82
12-10-2018,584.6500244,85.5,466.6000061,1730.349976,989.5,1126.400024,551.0499878,1641.150024,72.80000305,1918.400024,34291.92
15-10-2018,575.8499756,87.19999695,482.0499878,1733.949951,1003.924988,1139.800049,540.1500244,1670.849976,70.69999695,1949.150024,34971.83
16-10-2018,588.7999878,87.84999847,531.8499756,1756.900024,996.2000122,1163.650024,547.5999756,1693.150024,73.69999695,1961.699951,35004.33
17-10-2018,574.5999756,85.34999847,524.7000122,1736.300049,987.4749756,1148.900024,562.1500244,1685.849976,72.5,1927.699951,35543.38
19-10-2018,562.2000122,83.34999847,509.9500122,1661.300049,982.9000244,1101.650024,561.1500244,1691,70.84999847,1917.050049,34563.29
22-10-2018,561.0999756,84.25,493.3500061,1660.199951,996.5,1062.449951,556.2999878,1713.550049,72.05000305,1902.150024,34689.39
23-10-2018,563.0499878,86.90000153,480.75,1689.900024,992.5,1052.599976,578.5499878,1678.650024,70.25,1844.150024,33935.88
